,YOU
Price/Earnings (TTM),
Price/Sales (TTM),12.58254
Price/Book (MRQ),16.56341
Price/Cash Flow (TTM),
5yr Low,18.79
5yr High,65.7
5yr Avg Return,-0.10475
Short Int Current Month,12459314.0
Short Int Prev Month,12909484.0
Short Int Pct of Float,0.1887533
Days to Cover,10.79616
Float,73.02968
Shares Outstanding,152.4294
Institutions Holding Shares,186.0
% Held by Institutions,0.9947469999999999
FCF Growth 5yr,0.5853027210168565
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
