,PATH
% Above Low,0.1807
% Held by Institutions,0.6311
52-Wk Range,['10.40 - 51.15']
Annual Dividend $,
Annual Dividend %,
Ask,12.28
Ask Size,1000.0
B/A Ratio,0.6
B/A Size,600x1000
Beta,
Bid,12.27
Bid Size,600.0
Day Change $,-0.145
Day Change %,-0.011699999999999999
Day High,12.62
Day Low,12.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),100.0
Last (time),10:06a ET 11/28/22
Market Cap,6.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.42
Price,12.28
Shares Outstanding,549.6M
Short Interest,0.0564
Today's Open,12.24
Volume Past Day,(Light)
