,PATH
Price/Earnings (TTM),
Price/Sales (TTM),6.84115
Price/Book (MRQ),3.68965
Price/Cash Flow (TTM),
5yr Low,10.4
5yr High,90.0
5yr Avg Return,-0.5297
Short Int Current Month,23066800.0
Short Int Prev Month,25859431.0
Short Int Pct of Float,0.0564277
Days to Cover,3.17447
Float,412.0471
Shares Outstanding,549.6068
Institutions Holding Shares,390.0
% Held by Institutions,0.631058
FCF Growth 5yr,0.1850678124357088
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
