,AEIS
% Below High,0.0727
% Held by Institutions,1.0112999999999999
52-Wk Range,['67.55 - 98.07']
Annual Dividend $,0.4
Annual Dividend %,0.0044
Ask,91.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,90.39
Bid Size,100.0
Closing Price,90.94
Day Change $,-1.08
Day Change %,-0.011699999999999999
Day High,92.45
Day Low,90.91
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.434
Last (size),18.0
Last (time),12:59p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.48
Prev Close,92.02
Shares Outstanding,37.4M
Short Interest,0.048499999999999995
Today's Open,92.02
Volume,60292.0
Volume 10-day Avg,194670.0
Volume Past Day,(Light)
