,AEIS
Price/Earnings (TTM),17.47734
Price/Sales (TTM),1.94085
Price/Book (MRQ),3.43734
Price/Cash Flow (TTM),13.36465
5yr Low,33.38
5yr High,125.55
5yr Avg Return,0.06538333333333333
EPS Growth 5yr,0.0374467
Revenue Growth 5yr,0.2465612
Dividend Growth 5yr,
Short Int Current Month,1784394.0
Short Int Prev Month,1860372.0
Short Int Pct of Float,0.0484553
Days to Cover,6.74272
Float,36.82879
Shares Outstanding,37.38311
Institutions Holding Shares,373.0
% Held by Institutions,1.011347
FCF Growth 5yr,-2.169940628756501
