,SCVL
Price/Earnings (TTM),6.60153
Price/Sales (TTM),0.55171
Price/Book (MRQ),1.40204
Price/Cash Flow (TTM),5.42194
5yr Low,6.28
5yr High,46.21
5yr Avg Return,0.16865
EPS Growth 5yr,0.5333687
Revenue Growth 5yr,0.0585232
Dividend Growth 5yr,0.1528454
Short Int Current Month,2606750.0
Short Int Prev Month,2752993.0
Short Int Pct of Float,0.1538815
Days to Cover,7.88655
Float,16.93398
Shares Outstanding,27.61389
Institutions Holding Shares,227.0
% Held by Institutions,0.639812
FCF Growth 5yr,0.8296264525852853
