,SCVL
% Above Low,0.3171
% Held by Institutions,0.6397999999999999
52-Wk Range,['19.43 - 42.73']
Annual Dividend $,0.34
Annual Dividend %,0.0132
Ask,25.61
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,25.56
Bid Size,200.0
Day Change $,-0.085
Day Change %,-0.0033
Day High,26.03
Day Low,25.36
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-10-03 00:00:00
Ex-dividend Date,10/03/22
Historical Volatility,0.542
Last (size),100.0
Last (time),1:52p ET 11/28/22
Market Cap,706.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.6
Prev Close,25.67
Price,25.59
Shares Outstanding,27.6M
Short Interest,0.1539
Today's Open,25.41
Volume Past Day,(Light)
