,VMC
% Below High,0.159
% Held by Institutions,0.8946999999999999
52-Wk Range,['137.54 - 213.65']
Annual Dividend $,1.6
Annual Dividend %,0.0087
Ask,190.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,179.68
Bid Size,100.0
Closing Price,179.68
Day Change $,-3.66
Day Change %,-0.02
Day High,183.33
Day Low,178.99
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.315
Last (size),70.0
Last (time),7:00p ET 11/28/22
Market Cap,23.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.09
Prev Close,183.34
Shares Outstanding,132.9M
Short Interest,0.0101
Today's Open,182.25
Volume,658304.0
Volume 10-day Avg,620828.0
Volume Past Day,(Average)
