,VMC
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.12304250559284102
Growth 1yr High Est,0.04761904761904767
Growth 1yr Consensus Est,0.08533077660594435
Growth 2yr Low Est,0.15215870299562373
Growth 2yr High Est,0.19471861471861474
Growth 2yr Consensus Est,0.17343865885711923
Growth 5yr Low Est,0.07611098521479892
Growth 5yr High Est,0.11773113591880341
Growth 5yr Consensus Est,0.09692106056680116
Growth 5yr Actual/Est,0.09681077189834325
Growth 3yr Historic,0.0181669394435352
