,KAI
% Above Low,0.25379999999999997
% Held by Institutions,0.98
52-Wk Range,['154.19 - 239.85']
Annual Dividend $,1.04
Annual Dividend %,0.0054
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,76.66
Bid Size,
Closing Price,193.32
Day Change $,3.91
Day Change %,0.0206
Day High,193.35
Day Low,189.18
Dividend Pay Date,2023-02-02 00:00:00
"EPS (TTM, GAAP)",10.19
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.337
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.97
Prev Close,189.41
Shares Outstanding,11.7M
Short Interest,0.016
Today's Open,189.18
Volume,24265.0
Volume 10-day Avg,51021.0
Volume Past Day,(Light)
