,DOCS
% Above Low,0.3815
% Held by Institutions,0.9516
52-Wk Range,['22.91 - 68.94']
Annual Dividend $,
Annual Dividend %,
Ask,34.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,25.35
Bid Size,100.0
Closing Price,31.65
Day Change $,-0.74
Day Change %,-0.022799999999999997
Day High,32.24
Day Low,31.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",48.22
Prev Close,32.39
Shares Outstanding,192.5M
Short Interest,0.14730000000000001
Today's Open,32.0
Volume,528632.0
Volume 10-day Avg,3856141.0
Volume Past Day,(Light)
