,UMBF
% Above Low,0.0772
% Held by Institutions,0.9007999999999999
52-Wk Range,['77.48 - 112.24']
Annual Dividend $,1.52
Annual Dividend %,0.0178
Ask,83.49
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,0.8
Bid,83.43
Bid Size,500.0
Closing Price,83.46
Day Change $,-2.0
Day Change %,-0.023399999999999997
Day High,84.89
Day Low,83.06
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",8.41
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.307
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,4.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.16
Prev Close,85.46
Shares Outstanding,48.3M
Short Interest,0.013999999999999999
Today's Open,84.74
Volume,137789.0
Volume 10-day Avg,135701.0
Volume Past Day,(Average)
