,UMBF
Price/Earnings (TTM),10.1649
Price/Sales (TTM),2.89389
Price/Book (MRQ),1.63601
Price/Cash Flow (TTM),8.90268
5yr Low,39.47
5yr High,112.24
5yr Avg Return,0.042383333333333335
EPS Growth 5yr,0.1836321
Revenue Growth 5yr,0.10496309999999999
Dividend Growth 5yr,0.06298
Short Int Current Month,610319.0
Short Int Prev Month,990758.0
Short Int Pct of Float,0.0140069
Days to Cover,3.98014
Float,43.65351
Shares Outstanding,48.3123
Institutions Holding Shares,354.0
% Held by Institutions,0.900834
FCF Growth 5yr,0.3244980364662808
