,TTMI
% Below High,0.1244
% Held by Institutions,0.9782
52-Wk Range,['9.76 - 17.49']
Annual Dividend $,
Annual Dividend %,
Ask,15.33
Ask Size,600.0
B/A Ratio,11.5
B/A Size,6900x600
Beta,1.5
Bid,15.31
Bid Size,6900.0
Closing Price,15.31
Day Change $,-0.38
Day Change %,-0.0242
Day High,15.58
Day Low,15.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.93
Ex-dividend Date,No dividend
Historical Volatility,0.484
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.81
Prev Close,15.69
Shares Outstanding,102.2M
Short Interest,0.015300000000000001
Today's Open,15.53
Volume,593142.0
Volume 10-day Avg,379998.0
Volume Past Day,(Heavy Day)
