,TTMI
Price/Earnings (TTM),16.81113
Price/Sales (TTM),0.64766
Price/Book (MRQ),1.0533
Price/Cash Flow (TTM),7.0376
5yr Low,8.06
5yr High,19.91
5yr Avg Return,0.015150000000000005
EPS Growth 5yr,0.07930430000000001
Revenue Growth 5yr,-0.0235534
Dividend Growth 5yr,
Short Int Current Month,1457969.0
Short Int Prev Month,1607319.0
Short Int Pct of Float,0.015281499999999998
Days to Cover,2.35795
Float,95.62553
Shares Outstanding,102.2062
Institutions Holding Shares,309.0
% Held by Institutions,0.9782420000000001
FCF Growth 5yr,1.3883221688800462
