,PDFS
% Below High,0.083
% Held by Institutions,0.7051000000000001
52-Wk Range,['19.34 - 33.01']
Annual Dividend $,
Annual Dividend %,
Ask,30.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,30.19
Bid Size,100.0
Day Change $,0.03
Day Change %,0.001
Day High,30.31
Day Low,29.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.29
Ex-dividend Date,No dividend
Historical Volatility,0.49100000000000005
Last (size),100.0
Last (time),10:20a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.24
Price,30.27
Shares Outstanding,37.4M
Short Interest,0.0128
Today's Open,30.14
Volume Past Day,(Light)
