,BIG
Price/Earnings (TTM),
Price/Sales (TTM),0.0952
Price/Book (MRQ),0.61844
Price/Cash Flow (TTM),5.53979
5yr Low,10.13
5yr High,73.23
5yr Avg Return,-0.08546666666666665
EPS Growth 5yr,0.0990192
Revenue Growth 5yr,0.0343874
Dividend Growth 5yr,0.0310241
Short Int Current Month,7786700.0
Short Int Prev Month,7763646.0
Short Int Pct of Float,0.278843
Days to Cover,9.4198
Float,28.1588
Shares Outstanding,28.94189
Institutions Holding Shares,254.0
% Held by Institutions,1.047564
FCF Growth 5yr,-3.347173866322803
