,BIG
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-2.022304832713755
Growth 1yr High Est,-1.5954063604240283
Growth 1yr Consensus Est,-1.8088555965688915
Growth 2yr Low Est,-1.2611524163568775
Growth 2yr High Est,-1.8095726164137944
Growth 2yr Consensus Est,-1.535362516385336
Growth 5yr Low Est,-0.4608455082641184
Growth 5yr High Est,-0.7172326140488217
Growth 5yr Consensus Est,-0.58903906115647
Growth 5yr Actual/Est,-0.5836023829437124
Growth 3yr Historic,0.18571521251552398
