,ALK
Price/Earnings (TTM),158.7463
Price/Sales (TTM),0.65615
Price/Book (MRQ),1.55476
Price/Cash Flow (TTM),13.21932
5yr Low,20.02
5yr High,76.06
5yr Avg Return,-0.04583333333333332
EPS Growth 5yr,-0.1059503
Revenue Growth 5yr,0.0083325
Dividend Growth 5yr,
Short Int Current Month,3133337.0
Short Int Prev Month,2786237.0
Short Int Pct of Float,0.0248057
Days to Cover,2.31596
Float,126.3572
Shares Outstanding,126.8378
Institutions Holding Shares,668.0
% Held by Institutions,0.776883
FCF Growth 5yr,-100.91245460198719
