,ALK
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-2.762114537444934
Growth 1yr High Est,-3.5474860335195526
Growth 1yr Consensus Est,-3.154800285482243
Growth 2yr Low Est,-1.506057268722467
Growth 2yr High Est,-1.5741816132510045
Growth 2yr Consensus Est,-1.5401194409867358
Growth 5yr Low Est,-1.6464448958045137
Growth 5yr High Est,-1.628106219335624
Growth 5yr Consensus Est,-1.6372755575700686
Growth 5yr Actual/Est,-1.6061801051641744
Growth 3yr Historic,-0.8461263658000899
