,ALK
% Above Low,0.22820000000000001
% Held by Institutions,0.7768999999999999
52-Wk Range,['38.19 - 61.55']
Annual Dividend $,
Annual Dividend %,
Ask,49.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,44.0
Bid Size,100.0
Closing Price,46.9
Day Change $,0.56
Day Change %,0.0121
Day High,47.22
Day Low,46.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",158.75
Prev Close,46.34
Shares Outstanding,126.8M
Short Interest,0.0248
Today's Open,46.25
Volume,484320.0
Volume 10-day Avg,1086566.0
Volume Past Day,(Light)
