,THO
Price/Earnings (TTM),4.19821
Price/Sales (TTM),0.28466
Price/Book (MRQ),1.2923
Price/Cash Flow (TTM),3.26389
5yr Low,32.3
5yr High,161.48
5yr Avg Return,-0.012616666666666665
EPS Growth 5yr,0.23751370000000002
Revenue Growth 5yr,0.1761783
Dividend Growth 5yr,0.056749
Short Int Current Month,7841911.0
Short Int Prev Month,8067414.0
Short Int Pct of Float,0.153136
Days to Cover,11.65785
Float,51.2088
Shares Outstanding,53.6824
Institutions Holding Shares,517.0
% Held by Institutions,0.9833379999999999
FCF Growth 5yr,-59.60128083115236
