,THO
% Above Low,0.2923
% Held by Institutions,0.9833
52-Wk Range,['66.26 - 110.99']
Annual Dividend $,1.8
Annual Dividend %,0.0208
Ask,86.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,78.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,85.63
Day Change $,-0.87
Day Change %,-0.0101
Day High,86.66
Day Low,85.03
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",20.6
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.494
Last (size),925.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.2
Prev Close,86.5
Shares Outstanding,53.7M
Short Interest,0.1531
Today's Open,85.38
Volume,573721.0
Volume 10-day Avg,623284.0
Volume Past Day,(Average)
