,CFB
Price/Earnings (TTM),10.01174
Price/Sales (TTM),3.36732
Price/Book (MRQ),1.16812
Price/Cash Flow (TTM),8.9583
5yr Low,5.66
5yr High,16.5
5yr Avg Return,0.01595
Short Int Current Month,1037117.0
Short Int Prev Month,1103510.0
Short Int Pct of Float,0.0250475
Days to Cover,13.37456
Float,41.53814
Shares Outstanding,48.61778
Institutions Holding Shares,170.0
% Held by Institutions,0.535582
FCF Growth 5yr,0.5018238975876631
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
