,CFB
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,5.095238095238096
Growth 1yr High Est,3.9642857142857135
Growth 1yr Consensus Est,4.529761904761905
Growth 2yr Low Est,2.594494047619048
Growth 2yr High Est,2.0396968139773892
Growth 2yr Consensus Est,2.3170954307982186
Growth 5yr Low Est,1.1145547161172162
Growth 5yr High Est,0.8541857563862849
Growth 5yr Consensus Est,0.9843702362517507
Growth 5yr Actual/Est,1.0444382794335234
Growth 3yr Historic,1.0306224899598393
