,CFB
% Above Low,0.1328
% Held by Institutions,0.5356000000000001
52-Wk Range,['12.27 - 16.50']
Annual Dividend $,
Annual Dividend %,
Ask,22.22
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,5.56
Bid Size,200.0
Closing Price,13.9
Day Change $,0.28
Day Change %,0.0206
Day High,13.94
Day Low,13.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.255
Last (size),22.0
Last (time),12:58p ET 11/25/22
Market Cap,674.3M
"P/E Ratio (TTM, GAAP)",10.01
Prev Close,13.62
Shares Outstanding,48.6M
Short Interest,0.025
Today's Open,13.75
Volume,34491.0
Volume 10-day Avg,74084.0
Volume Past Day,(Light)
