,ZTS
Price/Earnings (TTM),34.30708
Price/Sales (TTM),8.73703
Price/Book (MRQ),15.01457
Price/Cash Flow (TTM),27.68398
5yr Low,70.2
5yr High,249.27
5yr Avg Return,0.18048333333333336
EPS Growth 5yr,0.2099367
Revenue Growth 5yr,0.0972991
Dividend Growth 5yr,0.2072218
Short Int Current Month,4041806.0
Short Int Prev Month,4264101.0
Short Int Pct of Float,0.0086948
Days to Cover,1.08693
Float,464.8715
Shares Outstanding,466.072
Institutions Holding Shares,2015.0
% Held by Institutions,0.9114570000000001
FCF Growth 5yr,0.35329419845756727
