,ZTS
% Above Low,0.1932
% Held by Institutions,0.9115000000000001
52-Wk Range,['124.15 - 249.27']
Annual Dividend $,1.3
Annual Dividend %,0.0087
Ask,155.63
Ask Size,800.0
B/A Ratio,1.75
B/A Size,1400x800
Beta,0.7
Bid,143.05
Bid Size,1400.0
Closing Price,148.13
Day Change $,-1.97
Day Change %,-0.0131
Day High,149.98
Day Low,147.82
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.38
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.317
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,69.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",34.31
Prev Close,150.1
Shares Outstanding,466.1M
Short Interest,0.0087
Today's Open,149.46
Volume,1633281.0
Volume 10-day Avg,2245113.0
Volume Past Day,(Light)
