,CPE
Price/Earnings (TTM),2.12913
Price/Sales (TTM),0.81133
Price/Book (MRQ),0.9297
Price/Cash Flow (TTM),1.56698
5yr Low,3.8
5yr High,146.5
5yr Avg Return,0.1895
EPS Growth 5yr,
Revenue Growth 5yr,0.5906152
Dividend Growth 5yr,
Short Int Current Month,6579867.0
Short Int Prev Month,6597889.0
Short Int Pct of Float,0.10896549999999999
Days to Cover,3.76659
Float,60.38485
Shares Outstanding,61.60852
Institutions Holding Shares,278.0
% Held by Institutions,0.836349
FCF Growth 5yr,0.5881734006734006
