,CPE
% Above Low,0.35729999999999995
% Held by Institutions,0.8362999999999999
52-Wk Range,['31.23 - 66.48']
Annual Dividend $,
Annual Dividend %,
Ask,44.88
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,2.7
Bid,42.0
Bid Size,1000.0
Closing Price,42.39
Day Change $,0.21
Day Change %,0.005
Day High,43.1
Day Low,42.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",19.91
Ex-dividend Date,No dividend
Historical Volatility,0.7320000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",2.13
Prev Close,42.18
Shares Outstanding,61.6M
Short Interest,0.109
Today's Open,42.52
Volume,280478.0
Volume 10-day Avg,1207045.0
Volume Past Day,(Light)
