,CPE
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.7904993909866014
Growth 1yr High Est,0.57633973710819
Growth 1yr Consensus Est,0.6834195640473957
Growth 2yr Low Est,0.3105558179422803
Growth 2yr High Est,0.38085748882349846
Growth 2yr Consensus Est,0.3457066533828894
Growth 5yr Low Est,0.3105558179422803
Growth 5yr High Est,0.38085748882349846
Growth 5yr Consensus Est,0.3457066533828894
Growth 5yr Actual/Est,0.5462248268054397
Growth 3yr Historic,0.3536943319838056
