,CAT
Price/Earnings (TTM),17.2154
Price/Sales (TTM),2.16607
Price/Book (MRQ),7.86739
Price/Cash Flow (TTM),12.81183
5yr Low,87.5
5yr High,246.69
5yr Avg Return,0.10458333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0575211
Dividend Growth 5yr,0.0680181
Short Int Current Month,7999147.0
Short Int Prev Month,6199217.0
Short Int Pct of Float,0.015403199999999999
Days to Cover,2.06997
Float,519.2819
Shares Outstanding,520.4094
Institutions Holding Shares,2509.0
% Held by Institutions,0.6811
FCF Growth 5yr,-1.3624816527484331
