,CAT
% Below High,0.0173
% Held by Institutions,0.6811
52-Wk Range,['160.60 - 239.85']
Annual Dividend $,4.8
Annual Dividend %,0.0204
Ask,236.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.1
Bid,235.4
Bid Size,400.0
Closing Price,235.7
Day Change $,-1.22
Day Change %,-0.0051
Day High,237.49
Day Low,235.19
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",13.69
Ex-dividend,2022-10-21 00:00:00
Ex-dividend Date,10/21/22
Historical Volatility,0.33799999999999997
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,122.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.22
Prev Close,236.92
Shares Outstanding,520.4M
Short Interest,0.0154
Today's Open,237.0
Volume,1034795.0
Volume 10-day Avg,2940527.0
Volume Past Day,(Light)
