,CAT
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.347962382445141
Growth 1yr High Est,0.3629560336763331
Growth 1yr Consensus Est,0.35545920806073705
Growth 2yr Low Est,0.12746956331559373
Growth 2yr High Est,0.26555488711956665
Growth 2yr Consensus Est,0.1965122252175802
Growth 5yr Low Est,0.03859380421418784
Growth 5yr High Est,0.12573198901432878
Growth 5yr Consensus Est,0.08216289661425831
Growth 5yr Actual/Est,0.1512773194662009
Growth 3yr Historic,0.0602485610638204
