,FORM
% Above Low,0.25730000000000003
% Held by Institutions,0.9567
52-Wk Range,['18.15 - 47.48']
Annual Dividend $,
Annual Dividend %,
Ask,23.12
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.2
Bid,22.52
Bid Size,600.0
Closing Price,22.82
Day Change $,0.02
Day Change %,0.0009
Day High,23.11
Day Low,22.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.603
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.99
Prev Close,22.8
Shares Outstanding,77.0M
Short Interest,0.0337
Today's Open,22.54
Volume,291485.0
Volume 10-day Avg,507859.0
Volume Past Day,(Light)
