,FORM
Price/Earnings (TTM),19.98809
Price/Sales (TTM),2.23358
Price/Book (MRQ),2.18135
Price/Cash Flow (TTM),13.78512
5yr Low,11.1
5yr High,52.39
5yr Avg Return,0.15116666666666662
EPS Growth 5yr,
Revenue Growth 5yr,0.1492699
Dividend Growth 5yr,
Short Int Current Month,2564517.0
Short Int Prev Month,2751457.0
Short Int Pct of Float,0.0336847
Days to Cover,3.50744
Float,76.31269
Shares Outstanding,77.0251
Institutions Holding Shares,305.0
% Held by Institutions,0.956725
FCF Growth 5yr,0.21597498901473747
