,EME
% Below High,0.008100000000000001
% Held by Institutions,0.9426000000000001
52-Wk Range,['95.64 - 156.67']
Annual Dividend $,0.6
Annual Dividend %,0.0039000000000000003
Ask,156.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,153.5
Bid Size,100.0
Closing Price,155.4
Day Change $,1.81
Day Change %,0.0118
Day High,155.95
Day Low,154.28
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-10-17 00:00:00
Ex-dividend Date,10/17/22
Historical Volatility,0.28300000000000003
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.94
Prev Close,153.59
Shares Outstanding,47.7M
Short Interest,0.0197
Today's Open,154.28
Volume,118979.0
Volume 10-day Avg,411365.0
Volume Past Day,(Light)
