,LMND
Price/Earnings (TTM),
Price/Sales (TTM),6.43722
Price/Book (MRQ),1.48485
Price/Cash Flow (TTM),
5yr Low,15.99
5yr High,188.3
5yr Avg Return,0.07656666666666669
Short Int Current Month,11371976.0
Short Int Prev Month,11544270.0
Short Int Pct of Float,0.2354103
Days to Cover,9.15849
Float,48.29205
Shares Outstanding,69.16381
Institutions Holding Shares,288.0
% Held by Institutions,0.312595
FCF Growth 5yr,0.30885106685380287
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
