,GE
% Below High,0.1503
% Held by Institutions,0.7064
52-Wk Range,['59.93 - 103.73']
Annual Dividend $,0.32
Annual Dividend %,0.0036
Ask,88.18
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,1.3
Bid,87.8
Bid Size,1000.0
Closing Price,88.14
Day Change $,0.27
Day Change %,0.0031
Day High,88.38
Day Low,87.35
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",-4.7
Ex-dividend,2022-09-26 00:00:00
Ex-dividend Date,09/26/22
Historical Volatility,0.354
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,96.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,87.87
Shares Outstanding,1.1B
Short Interest,0.0113
Today's Open,87.7
Volume,1894075.0
Volume 10-day Avg,4796237.0
Volume Past Day,(Light)
