,GE
Price/Earnings (TTM),
Price/Sales (TTM),1.28175
Price/Book (MRQ),3.0604
Price/Cash Flow (TTM),
5yr Low,43.84
5yr High,155.08
5yr Avg Return,-0.02355
EPS Growth 5yr,
Revenue Growth 5yr,-0.0908704
Dividend Growth 5yr,-0.4658608
Short Int Current Month,12362257.0
Short Int Prev Month,11483837.0
Short Int Pct of Float,0.011339300000000002
Days to Cover,1.85182
Float,1090.336
Shares Outstanding,1092.668
Institutions Holding Shares,1781.0
% Held by Institutions,0.706356
FCF Growth 5yr,-1.0747811132354235
