,AVA
Price/Earnings (TTM),22.92796
Price/Sales (TTM),1.85359
Price/Book (MRQ),1.35345
Price/Cash Flow (TTM),7.96012
5yr Low,32.09
5yr High,53.0
5yr Avg Return,-0.03193333333333333
EPS Growth 5yr,-0.0041946
Revenue Growth 5yr,-0.0004923
Dividend Growth 5yr,0.0428773
Short Int Current Month,1764730.0
Short Int Prev Month,1719653.0
Short Int Pct of Float,0.0241405
Days to Cover,1.93341
Float,73.17846
Shares Outstanding,73.77576
Institutions Holding Shares,384.0
% Held by Institutions,0.855823
FCF Growth 5yr,7.4141329133766405
