,AVA
% Above Low,0.1478
% Held by Institutions,0.8558
52-Wk Range,['35.72 - 46.90']
Annual Dividend $,1.76
Annual Dividend %,0.0429
Ask,41.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,39.4
Bid Size,100.0
Closing Price,41.0
Day Change $,1.06
Day Change %,0.0265
Day High,41.08
Day Low,40.04
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.79
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.252
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.93
Prev Close,39.94
Shares Outstanding,73.8M
Short Interest,0.0241
Today's Open,40.04
Volume,294740.0
Volume 10-day Avg,610431.0
Volume Past Day,(Light)
