,FBP
% Below High,0.0728
% Held by Institutions,0.9584
52-Wk Range,['11.94 - 16.62']
Annual Dividend $,0.48
Annual Dividend %,0.0311
Ask,15.6
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.2
Bid,14.37
Bid Size,400.0
Closing Price,15.41
Day Change $,0.19
Day Change %,0.0125
Day High,15.45
Day Low,15.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.386
Last (size),88.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.98
Prev Close,15.22
Shares Outstanding,184.6M
Short Interest,0.030600000000000002
Today's Open,15.32
Volume,291757.0
Volume 10-day Avg,1065122.0
Volume Past Day,(Light)
