,FBP
Price/Earnings (TTM),9.97999
Price/Sales (TTM),3.16896
Price/Book (MRQ),2.26836
Price/Cash Flow (TTM),8.43237
5yr Low,3.5
5yr High,16.62
5yr Avg Return,0.23568333333333333
EPS Growth 5yr,0.2494774
Revenue Growth 5yr,0.0630826
Dividend Growth 5yr,
Short Int Current Month,5520658.0
Short Int Prev Month,6697004.0
Short Int Pct of Float,0.0305575
Days to Cover,4.32489
Float,181.3334
Shares Outstanding,184.6115
Institutions Holding Shares,330.0
% Held by Institutions,0.958431
FCF Growth 5yr,0.24781907727644162
