,FBP
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.15671641791044766
Growth 1yr High Est,0.17518248175182483
Growth 1yr Consensus Est,0.16594944983113624
Growth 2yr Low Est,0.10416466056812701
Growth 2yr High Est,0.14038627193181297
Growth 2yr Consensus Est,0.12227546624996999
Growth 5yr Low Est,0.24874899695073022
Growth 5yr High Est,0.2768598026325732
Growth 5yr Consensus Est,0.2628043997916517
Growth 5yr Actual/Est,0.4912785414892785
Growth 3yr Historic,0.43643939393939385
