,NOG
Price/Earnings (TTM),4.01166
Price/Sales (TTM),1.8477
Price/Book (MRQ),4.01018
Price/Cash Flow (TTM),2.78605
5yr Low,3.35
5yr High,44.9
5yr Avg Return,0.33716666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.27949280000000004
Dividend Growth 5yr,
Short Int Current Month,6471228.0
Short Int Prev Month,6880034.0
Short Int Pct of Float,0.0973456
Days to Cover,3.74005
Float,66.4652
Shares Outstanding,77.87223
Institutions Holding Shares,307.0
% Held by Institutions,0.857559
FCF Growth 5yr,0.03459595959595959
