,NOG
% Below High,0.078
% Held by Institutions,0.8576
52-Wk Range,['17.52 - 39.10']
Annual Dividend $,1.2
Annual Dividend %,0.0333
Ask,35.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,34.82
Bid Size,100.0
Change Since Close,-0.81| |(-2.25%)
Closing Price,36.05
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",8.99
Ex-dividend,2022-12-28 00:00:00
Ex-dividend Date,12/28/22
Historical Volatility,0.648
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,35.24
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",4.01
Prev Close,36.05
Shares Outstanding,85.2M
Short Interest,0.0973
Today's Open,
Volume,565.0
Volume 10-day Avg,1848936.0
Volume Past Day,(Light)
