,CRNC
% Above Low,0.154
% Held by Institutions,0.9691
52-Wk Range,['14.09 - 84.90']
Annual Dividend $,
Annual Dividend %,
Ask,16.53
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,
Bid,16.25
Bid Size,5500.0
Closing Price,16.26
Day Change $,-0.33
Day Change %,-0.0199
Day High,16.6
Day Low,16.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.86
Ex-dividend Date,No dividend
Historical Volatility,0.745
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,640.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.59
Shares Outstanding,39.4M
Short Interest,0.1018
Today's Open,16.59
Volume,147763.0
Volume 10-day Avg,345814.0
Volume Past Day,(Light)
