,NCR
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.008230452674897082
Growth 1yr High Est,0.02281368821292773
Growth 1yr Consensus Est,0.015522070443912406
Growth 2yr Low Est,0.030645838582346485
Growth 2yr High Est,0.119213535556278
Growth 2yr Consensus Est,0.07492968706931225
Growth 5yr Low Est,0.03091355619917549
Growth 5yr High Est,0.06303698511251973
Growth 5yr Consensus Est,0.04697527065584761
Growth 5yr Actual/Est,0.07445482670923448
Growth 3yr Historic,0.029054096738192037
