,NCR
% Above Low,0.299
% Held by Institutions,0.9351
52-Wk Range,['18.06 - 45.92']
Annual Dividend $,
Annual Dividend %,
Ask,23.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,21.0
Bid Size,100.0
Closing Price,23.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.83
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.42
Prev Close,23.46
Shares Outstanding,137.4M
Short Interest,0.059500000000000004
Today's Open,
Volume,411134.0
Volume 10-day Avg,1129253.0
Volume Past Day,(Light)
