,NCR
Price/Earnings (TTM),28.42086
Price/Sales (TTM),0.40963
Price/Book (MRQ),2.22424
Price/Cash Flow (TTM),4.45837
5yr Low,10.55
5yr High,50.0
5yr Avg Return,0.0029000000000000033
EPS Growth 5yr,-0.17081559999999998
Revenue Growth 5yr,0.0180724
Dividend Growth 5yr,
Short Int Current Month,7798050.0
Short Int Prev Month,8829372.0
Short Int Pct of Float,0.0595109
Days to Cover,5.17357
Float,132.3601
Shares Outstanding,137.4
Institutions Holding Shares,470.0
% Held by Institutions,0.935086
FCF Growth 5yr,-0.3495429316895475
