,EMR
Price/Earnings (TTM),17.74244
Price/Sales (TTM),2.89599
Price/Book (MRQ),5.48489
Price/Cash Flow (TTM),13.08896
5yr Low,37.75
5yr High,105.99
5yr Avg Return,0.08270000000000001
EPS Growth 5yr,0.1623666
Revenue Growth 5yr,0.0515888
Dividend Growth 5yr,0.0141757
Short Int Current Month,5995647.0
Short Int Prev Month,5744479.0
Short Int Pct of Float,0.0102176
Days to Cover,1.36244
Float,587.0109
Shares Outstanding,591.4
Institutions Holding Shares,2087.0
% Held by Institutions,0.71359
FCF Growth 5yr,0.8049295479952413
