,HYFM
Price/Earnings (TTM),
Price/Sales (TTM),0.30079
Price/Book (MRQ),0.30909
Price/Cash Flow (TTM),
5yr Low,1.88
5yr High,95.48
5yr Avg Return,-0.4169333333333334
Short Int Current Month,2825075.0
Short Int Prev Month,2982735.0
Short Int Pct of Float,0.07121870000000001
Days to Cover,1.93445
Float,39.67258
Shares Outstanding,45.17043
Institutions Holding Shares,153.0
% Held by Institutions,0.478044
FCF Growth 5yr,-0.04741949912745591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
