,HYFM
% Above Low,0.3973
% Held by Institutions,0.478
52-Wk Range,['1.88 - 37.04']
Annual Dividend $,
Annual Dividend %,
Ask,2.62
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,2.59
Bid Size,300.0
Closing Price,2.62
Day Change $,-0.06
Day Change %,-0.022400000000000003
Day High,2.7
Day Low,2.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.82
Ex-dividend Date,No dividend
Historical Volatility,0.996
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,118.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.68
Shares Outstanding,45.2M
Short Interest,0.0712
Today's Open,2.7
Volume,209899.0
Volume 10-day Avg,769781.0
Volume Past Day,(Light)
