,VIAV
% Above Low,0.09720000000000001
% Held by Institutions,0.9664
52-Wk Range,['10.04 - 18.14']
Annual Dividend $,
Annual Dividend %,
Ask,11.07
Ask Size,1500.0
B/A Ratio,16.266666666666666
B/A Size,24400x1500
Beta,0.8
Bid,10.44
Bid Size,24400.0
Closing Price,11.01
Day Change $,-0.01
Day Change %,-0.0009
Day High,11.18
Day Low,10.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.41200000000000003
Last (size),15900.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.16
Prev Close,11.02
Shares Outstanding,226.4M
Short Interest,0.0258
Today's Open,10.93
Volume,1736234.0
Volume 10-day Avg,1707455.0
Volume Past Day,(Average)
