,VIAV
Price/Earnings (TTM),25.16212
Price/Sales (TTM),1.95522
Price/Book (MRQ),3.85802
Price/Cash Flow (TTM),14.12497
5yr Low,8.08
5yr High,18.14
5yr Avg Return,0.06495000000000001
EPS Growth 5yr,-0.369984
Revenue Growth 5yr,0.09931010000000001
Dividend Growth 5yr,
Short Int Current Month,5763665.0
Short Int Prev Month,8489546.0
Short Int Pct of Float,0.025788199999999997
Days to Cover,1.82151
Float,223.6864
Shares Outstanding,226.3585
Institutions Holding Shares,400.0
% Held by Institutions,0.966364
FCF Growth 5yr,0.1365346429899161
