,MYTE
% Above Low,0.138
% Held by Institutions,0.21710000000000002
52-Wk Range,['8.91 - 27.82']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,10.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),235.0
Last (time),5:00p ET 11/25/22
Market Cap,858.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.14
Shares Outstanding,84.7M
Short Interest,0.0721
Today's Open,
Volume,24378.0
Volume 10-day Avg,49668.0
Volume Past Day,(Light)
