,MYTE
Price/Earnings (TTM),
Price/Sales (TTM),1.16707
Price/Book (MRQ),1.89354
Price/Cash Flow (TTM),163.7711
5yr Low,8.91
5yr High,36.25
5yr Avg Return,-0.46659999999999996
Short Int Current Month,1244284.0
Short Int Prev Month,1522505.0
Short Int Pct of Float,0.0720938
Days to Cover,8.42377
Float,17.25852
Shares Outstanding,84.68363
Institutions Holding Shares,55.0
% Held by Institutions,0.217134
FCF Growth 5yr,0.6513413190556748
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
