,CPRT
% Below High,0.14679999999999999
% Held by Institutions,0.8018000000000001
52-Wk Range,['51.11 - 76.29']
Annual Dividend $,
Annual Dividend %,
Ask,65.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,64.79
Bid Size,100.0
Closing Price,65.09
Day Change $,-0.78
Day Change %,-0.0118
Day High,66.36
Day Low,65.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.23
Ex-dividend Date,No dividend
Historical Volatility,0.341
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,31.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.16
Prev Close,65.87
Shares Outstanding,476.3M
Short Interest,0.0129
Today's Open,66.17
Volume,748342.0
Volume 10-day Avg,2323181.0
Volume Past Day,(Light)
