,CPRT
Price/Earnings (TTM),29.15983
Price/Sales (TTM),8.64983
Price/Book (MRQ),6.38711
Price/Cash Flow (TTM),25.37833
5yr Low,19.61
5yr High,80.56
5yr Avg Return,0.2510666666666667
EPS Growth 5yr,0.2213626
Revenue Growth 5yr,0.1931194
Dividend Growth 5yr,
Short Int Current Month,5538699.0
Short Int Prev Month,2731407.0
Short Int Pct of Float,0.0129484
Days to Cover,2.45188
Float,427.9323
Shares Outstanding,476.3
Institutions Holding Shares,1133.0
% Held by Institutions,0.8017610000000001
FCF Growth 5yr,0.2287502806453685
