,CPRT
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.5
Growth 1yr High Est,-0.47058823529411764
Growth 1yr Consensus Est,-0.4852941176470588
Growth 2yr Low Est,-0.20205479452054798
Growth 2yr High Est,-0.1653352699104333
Growth 2yr Consensus Est,-0.18369503221549063
Growth 5yr Low Est,-0.05443879596931711
Growth 5yr High Est,-0.03664195298993426
Growth 5yr Consensus Est,-0.04554037447962569
Growth 5yr Actual/Est,0.1969856211382961
Growth 3yr Historic,0.1598784831342971
