,KRTX
% Below High,0.17
% Held by Institutions,0.9837
52-Wk Range,['92.26 - 278.25']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,230.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.45
Ex-dividend Date,No dividend
Historical Volatility,0.766
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,7.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,230.95
Shares Outstanding,34.4M
Short Interest,0.053399999999999996
Today's Open,
Volume,44439.0
Volume 10-day Avg,301265.0
Volume Past Day,(Light)
