,KRTX
Price/Earnings (TTM),
Price/Sales (TTM),187.5123
Price/Book (MRQ),6.69975
Price/Cash Flow (TTM),
5yr Low,11.24
5yr High,278.25
5yr Avg Return,1.119275
Short Int Current Month,1704265.0
Short Int Prev Month,1622837.0
Short Int Pct of Float,0.0534422
Days to Cover,5.05636
Float,32.37363
Shares Outstanding,34.36278
Institutions Holding Shares,325.0
% Held by Institutions,0.983743
FCF Growth 5yr,0.31538749639873237
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
