,KRTX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,2.380434782608696
Growth 1yr High Est,2.0370370370370368
Growth 1yr Consensus Est,2.2087359098228663
Growth 2yr Low Est,1.3531327182068131
Growth 2yr High Est,0.9155374887082204
Growth 2yr Consensus Est,1.1343351034575169
Growth 5yr Low Est,0.9020884788045421
Growth 5yr High Est,0.6103583258054802
Growth 5yr Consensus Est,0.7562234023050111
Growth 5yr Actual/Est,0.37369737516333623
Growth 3yr Historic,0.1527850637904986
